locus,sgRNA_target,gene_name,Ala,Arg,Asn,Ctr,Cys,Gln,Glu,Gly,Leu,Phe,Thr,Val
slr1271,rffM2,rffM,-0.8899694743169445,-0.6213267924217529,-0.8751622526025097,-0.4211519773641119,-1.0710342750516912,-0.898091223625595,-0.5103194234419283,-0.6052294773729215,-0.837059622053872,-0.17282488582351502,-0.677373589414503,-1.1201743909388666
slr1130,rhnB,rnhB slr1130,-1.0431196661977522,-0.6772988617567179,0.0365462286342985,-0.7324672143644074,-0.6354931147962734,-0.8766921287239772,-0.29956348317939785,-0.6503552810442504,-1.1277272070171582,-0.7123466782520954,-0.2742453334876111,-0.6886498207907236
sll1894,ribA,ribBA ribA sll1894,-1.0650253739276865,-2.0957139407536167,-1.4201969025399312,-2.189998567239553,-1.6214439245003562,-1.5852792901276835,-1.1786724906823272,-1.3963290496328482,-1.3617528223698738,0.05813170751742935,-1.320045456056166,-1.3755145112588902
sll0300,ribC,ribC,-0.8645245586831657,-1.0857112592692386,-0.8712884306459842,-0.6833406408941309,-0.9743826142334636,-1.1170485855052792,-1.2097993774739004,-0.9430537059514721,-0.7563656551151121,0.4540778770059294,-0.7226209925459522,-1.1369151383250962
slr0066,ribG,ribD slr0066,-1.1332574998240523,-1.4542935268192652,-1.3889974249359807,-1.3014528783661892,-1.1619214643169957,-1.2796060033627112,-1.7404600696508155,-1.3649701826537188,-0.875014585756034,0.5525144284451224,-1.4995388493854167,-1.3446711754718748
sll1282,ribH,ribH sll1282,-1.2110201359185828,-2.111355640577286,-1.8769554627449085,-2.014139089608719,-1.5481652430790762,-1.4362651816529506,-2.2244907218960983,-1.123372254485028,-1.0278199772181307,-0.2035747052220183,-2.011240817023524,-1.4944918426517337
slr0853,rimI,rimI,0.043443293437173826,-0.08666422154798196,0.18234392713974412,0.0330439289537431,0.2424828505702527,0.0323221643310685,0.05122813902589251,0.059195810645206834,0.03178188672813347,2.1811494113104906,-0.01987737371677396,0.07663775522047923
slr0423,rlpA,rlpA slr0423,0.389541002637084,0.0600278024193061,-0.16702309991232991,0.33560143505669165,0.5164243733713976,0.3282812696640371,0.32867955101236984,0.30450360350188554,0.2975398602746333,0.37246231431272386,0.36687800651649904,0.19956446904393432
sll1290,rnb,sll1290,-0.24042821634584988,-0.8737726231185685,-0.4743578839224908,-0.16131918102430146,-0.3775123508487292,-0.06695360172332568,-0.14106042377183442,-0.314792411075739,-0.2959542920513046,-0.9390964850843638,-0.3670401418570208,-0.2887759592799445
slr1646,rnc,rnc1 slr1646,-2.1502918306193775,-2.087629527072104,-1.9893964539227837,-1.952644626677276,-0.8595246750990199,-1.1282385034393374,-0.8110314840826848,-0.9524071839675335,-2.1659113649169544,-2.845107631321284,-1.5926052170939797,-1.406506041425015
